Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
1;37500;3;40;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;51000;Другое;Мегафон;Клиент банка;Нет дефолта
1;23500;11;54;Мужской;Высшее;Фитнес;Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
1;40500;9;45;Мужской;Среднее специальное;Косметика и косметические услуги;Дети есть;Москва или МО;31000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;28500;12;23;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;18000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;25500;12;28;Мужской;Высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;МТС;Не клиент банка;Нет дефолта
1;11000;3;24;Мужской;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
1;16000;8;27;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;74500;24;30;Женский;Высшее;Мебель;Дети есть;Москва или МО;51000;Другое;МТС;Клиент банка;Нет дефолта
1;24000;12;37;Мужской;Высшее;Бытовая техника;Детей нет;Санкт-Петербург или ЛО;41000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;31000;12;20;Мужской;Неоконченное высшее;Бытовая техника;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
1;66500;12;48;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Санкт-Петербург или ЛО;111000;Другое;МТС;Не клиент банка;Нет дефолта
1;13000;12;28;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;19000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;26500;24;58;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;26500;3;40;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;51000;Другое;МТС;Клиент банка;Нет дефолта
1;35000;12;28;Мужской;Высшее;Мобильные телефоны;Дети есть;Санкт-Петербург или ЛО;34000;Другое;Мегафон;Клиент банка;Нет дефолта
1;8500;6;28;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;19000;Никогда не был(а) женат/замужем;Теле2;Не клиент банка;Дефолт
1;21000;18;28;Мужской;Высшее;Мебель;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
1;6500;3;66;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;19000;Другое;Билайн;Клиент банка;Нет дефолта
1;27000;6;28;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;31000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;8000;12;25;Женский;Среднее;Бытовая техника;Детей нет;Другие регионы;11000;Женат/замужем;Теле2;Клиент банка;Дефолт
1;43000;18;27;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;19000;Другое;МТС;Не клиент банка;Нет дефолта
1;7000;6;37;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;16000;Другое;МТС;Не клиент банка;Нет дефолта
1;15500;10;25;Женский;Среднее;Бытовая техника;Детей нет;Другие регионы;19000;Другое;Мегафон;Клиент банка;Дефолт
1;15000;6;33;Женский;Среднее специальное;Мебель;Дети есть;Другие регионы;14000;Другое;Билайн;Не клиент банка;Нет дефолта
1;84500;18;40;Мужской;Среднее специальное;Туризм и отдых;Дети есть;Другие регионы;61000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;22000;9;19;Мужской;Неоконченное высшее;Мобильные телефоны;Детей нет;Москва или МО;21000;Другое;Мегафон;Клиент банка;Нет дефолта
1;24000;6;49;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;31000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
1;9000;6;49;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Нет дефолта
1;35000;12;42;Мужской;Высшее;Мебель;Дети есть;Другие регионы;11000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;8000;6;24;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;16000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;15500;12;21;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;51000;Другое;МТС;Не клиент банка;Нет дефолта
1;23500;10;69;Мужской;Высшее;Медицинские услуги;Детей нет;Санкт-Петербург или ЛО;16000;Другое;МТС;Клиент банка;Нет дефолта
1;36000;18;32;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;36000;Другое;МТС;Клиент банка;Дефолт
1;34500;12;43;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;81000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;5000;10;39;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;9500;4;27;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;29000;12;29;Женский;Высшее;Бытовая техника;Детей нет;Другие регионы;46000;Другое;Мегафон;Клиент банка;Нет дефолта
1;17000;12;39;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;50000;18;23;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Дефолт
1;11500;4;37;Женский;Среднее;Бытовая техника;Дети есть;Другие регионы;20000;Другое;Билайн;Клиент банка;Нет дефолта
1;34500;15;39;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;46000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
1;12000;10;26;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;26000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;10500;10;49;Женский;Среднее специальное;Бытовая техника;Детей нет;Москва или МО;16000;Другое;Мегафон;Клиент банка;Нет дефолта
1;25000;6;42;Женский;Среднее специальное;Аудио, Видео, Фото;Детей нет;Москва или МО;31000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;31000;12;34;Женский;Высшее;Компьютеры, комплектующие;Детей нет;Москва или МО;71000;Другое;Билайн;Клиент банка;Нет дефолта
1;20500;12;26;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
1;6000;3;31;Мужской;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;9000;6;31;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;36000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;43000;6;22;Мужской;Неоконченное высшее;Одежда, изделия из меха и кожи;Детей нет;Москва или МО;31000;Другое;Теле2;Клиент банка;Нет дефолта
1;8000;12;31;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;20000;Другое;Мегафон;Клиент банка;Нет дефолта
1;14000;6;24;Женский;Неоконченное высшее;Компьютеры, комплектующие;Детей нет;Москва или МО;36000;Другое;Теле2;Клиент банка;Нет дефолта
1;22500;18;42;Мужской;Среднее специальное;Мебель;Детей нет;Другие регионы;13000;Другое;Мегафон;Клиент банка;Нет дефолта
